,smiles,frequency
85,[CH][CH][CH]C[CH]C,8
86,O=C1C=CN=CN1,8
87,O=C1C=COC2=CC=CC=C12,8
88,C1=NN=CN1,8
89,C[CH]C1CCCCC1CC,7
90,CCCC(CC)CC,7
91,CCC1CCCCC1CC,7
92,C1=CC=C2N=CC=CC2=C1,7
93,C[CH]CCC,7
94,[CH]1[CH][CH]C[CH][CH]1,7
95,C[CH][CH]C(C)[CH]CC,7
96,O=C1NC2=CC=CC=C2N1,7
97,CCC1[CH]CC2(C)CCCC2C1C[CH]C,7
98,[CH]C[CH][CH]C,6
99,[CH]C(C)[CH]C(C)[CH]C(C)[CH][CH]C,6
100,C1=CN=CC=N1,6
101,C1=CC2=NC=CN2C=C1,6
102,[Br-],6
103,C[CH][CH]C[CH]C,6
104,C1C2CC3CC1CC(C2)C3,6
105,O=C1C=CNC(=O)N1,6
106,[CH]C[CH]C,5
107,CCCCCCCCC,5
108,C1=NC=NC2=C1N=CN2,5
109,C[CH][CH]C(C)[CH]C(C)C[CH]C,5
110,C[CH]CCCC,5
111,C1CCCC1,5
112,C1=CC2=C(C=C1)C=CC=C2,5
113,C1=CC=C2ON=CC2=C1,5
114,CCCCCCCC,5
115,CC1(C)CCCC1,5
116,CCC(C)C1CCC2(C)CCCC2C1CC,5
117,CCCCC(C)C,5
118,O=C1NC2=C(C=CC=C2)N1,5
119,[CH]C(C)CC,5
120,C1=CC2=C(C=C1)ON=C2,5
121,C1=CC2=C(C=C1)OC=C2,5
122,CCC(C)C(C)CC,5
123,[CH][CH]C([CH][CH]C)CC,5
124,[CH]CC1C(CC)[CH]CC2(C)[CH]C(C)CC12,5
125,[CH]1[CH][CH][CH][CH][CH]1,5
126,C[CH][CH]C,5
127,[Cl],5
128,C1=CC=C2NC=NC2=C1,4
129,[CH]CC1C(CC)CCC2(C)C[CH]CC12,4
130,[CH]CC1[CH][CH][CH]CC1C,4
131,CC1CCCCC1,4
132,CCCC(C)(C)C,4
133,N=O,4
134,[CH][CH]C([CH])C,4
135,C[CH][CH]CC,4
136,C=C1C=CC=CC1=N,4
137,[OH-],4
138,C[CH][CH]C(C)[CH]C,4
139,C1=CC2=C(C=C1)N=CC=C2,4
140,CCCC1CCCCC1,4
141,O=C1C=CC=CN1,4
142,[CH]CC(C)C,4
143,[CH]CCCC,4
144,CC1CCC1,4
145,CCC1[CH]CC2(C)C(C)C(C)CC2C1CC,3
146,CCCC(C)[CH]C(C)[CH][CH]C,3
147,CCCC(C)CCC,3
148,CCCC(C)CC(C)CC(C)C,3
149,O=C1C=CNC2=C1C=CC=C2,3
150,CCC1[CH]C[CH]C(CC)[CH]1,3
151,[NH2+]=O,3
152,CCC(C)CC(C)CC,3
153,O=C1C=CNC=N1,3
154,[CH][CH][CH]C,3
155,O=C1N=CC=CN1,3
156,C[CH]C1CC[CH][CH]C1CC,3
157,C=C1C=CSC1=N,3
158,C1=NNN=N1,3
159,[CH][CH][CH][CH]C,3
160,CC(C)CC(C)C,3
161,O=C1NC=NC2=CC=CC=C12,3
162,O=C1NC=NN1,3
163,O=C1NN=NN1,3
164,CC([CH])C[CH]C,3
165,C1=NC=C2N=CNC2=N1,3
166,O=C1NC(=O)C2=C(C=CC=C2)N1,3
167,C1=CN=NC=C1,3
168,C1=CN=C2N=CC=CC2=C1,3
169,[CH]CC1C(CC)CCC2(C)CC(C)CC12,3
170,I,3
171,CCC(C)(C)C,3
172,C1=CN2C=CN=C2N=C1,3
173,C1=CC=C2C=NC=CC2=C1,3
174,C1=CC=NN=C1,3
175,[CH]1CC[CH]CCC1,3
176,CC1CCCC1,3
177,O=C1C=CC=CC=C1,3
178,[CH]CC1C(CC)[CH]CC2(C)CCCC12,3
179,CC[CH]C(C)C,3
180,CCCCC(C)CC(C)C,2
181,CCCCCCC(C)C,2
182,CCCC(C)C1CCC(CC)C(CC)C1,2
183,CCCCCC(C)CC,2
184,CCCC(CC)CCC,2
185,O=C1C=CC2=CC=CC=C2O1,2
186,O=C1C=CNC2=C1C=CC=N2,2
187,O=C1OC=CO1,2
188,C[CH][CH][CH][CH]C,2
189,O=C1C=CNC2=NC=CC=C12,2
190,CCCC(CC)C1CC(C)CC1(C)C,2
191,O=C1C=CC2=C(C=CC=C2)O1,2
192,O=C1C=CNN1,2
193,C1=CC=C2N=CN=CC2=C1,2
194,CCC(C)C(C)(C)C,2
195,CC(C)C1[CH]CC2(C)CC(C)CC2[CH]1,2
196,C1=NSN=C1,2
197,[N-]=[N+]=N,2
198,[N-],2
199,[CH][CH][CH][CH][CH]CCC,2
200,[CH][CH]C[CH]C,2
201,[CH]CC1C(C(C)CC)[CH]CC2(C)C[CH]CC12,2
202,CCC(C)C1CCC2(C)[CH]CCC2C1CC,2
203,CCC(C)C1CCC2(C)C[CH]CC2C1C,2
204,C1CC2CCC1C2,2
205,[CH]CC[CH]C,2
206,[CH]CC1CCCCC1C,2
207,C1=CC=C2NN=CC2=C1,2
208,C1=CC=C2SC=NC2=C1,2
209,CC12[CH]CCC1C1CCC3C[CH]CCC3(C)C1CC2,2
210,[CH][CH][CH]C(C)C,2
211,CC1CCC2C3CCC(C)C(C)(C)C3CCC12C,2
212,C1=CC=[N+]C=C1,2
213,C1=CN2N=CC=C2N=C1,2
214,[CH]C[CH],2
215,CCC(C)[CH]C(CC)C1CCCC1(C)C,2
216,CCC(CC)C(C)(C)CC,2
217,CC1CCC(C)CC1,2
218,CCC(CC)C(C)C,2
219,CCC1[CH]CCC2(C)CCCC12,2
220,[Na],2
221,[CH]C1[CH]C[CH]C1C,2
222,CCC1[CH]CC2(C)CC(C)CC2C1[CH]C,2
223,[CH]CC(C)CCC,2
224,CCC1CCCCC1C,2
225,CCC1CCCCC1,2
226,CCC1CCC2(C)C[CH]CC2C1CC,2
227,C1=CC2=C(C=C1)SC=N2,2
228,[CH][CH]CC([CH]C)CC,2
229,C1=CC2=C(C=C1)SN=C2,2
230,[Na+].[Na+],2
231,CC([CH])C[CH][CH],2
232,CCC1C(C(C)C)CCC2(C)CCCC12,2
233,C1=CC2=C3C=CSC3=CC=C2N1,2
234,[CH]CC([CH])CC,2
235,[NH2+],2
236,[CH]CC([CH]C1C(C)[CH]C[CH]C1C)C(C)C,2
237,C1=COC=N1,2
238,O=C1NC2=C(C=CC=C2)NC1=O,1
239,O=C1NC=CO1,1
240,[CH][CH]C[CH][CH]C,1
241,O=C1NC2=CC=CC=C2O1,1
242,[CH][CH]CC[CH]CC,1
243,O=C1NC=NC2=C1C=CC=C2,1
244,O=C1NC2=C(C=CC=C2)N2C=NC=C12,1
245,[CH]C([CH])C,1
246,[CH][CH][CH][CH]C(C)C,1
247,O=C1NC2=C(C=CC=C2)C2=C1C=CC=C2,1
248,[Na+].[Na+].[Na+],1
249,O=C1C=COC2=C1C=CC=C2,1
250,[NH3+],1
251,[NH-],1
252,O=C1C=CON1,1
253,[NH+],1
254,[N+]=[N-],1
255,O=C1N=CNC2=C1N=CC=N2,1
256,[CH][CH]CC[CH]C,1
257,[H+].[H+].[H+],1
258,O=C1N=CNNC1=O,1
259,[H+].[H+],1
260,[Ca+2],1
261,[CH][CH][CH][CH][CH]C[CH][CH],1
262,O=C1NC(=O)C2=C(NC=N2)N1,1
263,O=C1NC=NC2=CC3=CC=CC=C3C=C12,1
264,S=C1N=CNC2=C1NC=N2,1
265,[CH][CH]CCC,1
266,[CH]C(C)C(C)C,1
267,[CH]1[CH]CCCCC1,1
268,[CH]1[CH]CC[CH]C1,1
269,[CH]1[CH][CH]CCC[CH]1,1
270,[CH]1[CH][CH]C[CH]1,1
271,[CH]C(C)(C)C,1
272,[CH]CC1(C)[CH]C[CH]C2C3(C)CC[CH]C(C)C3CCC21C,1
273,O=C1C=CNN=C1,1
274,[CH]CC1(C)CCCC1[CH]CC,1
275,[CH]CC([CH]CC)C1CCCC1(C)C,1
276,[CH]C(C)C(C)CC,1
277,O=C1NC=NNC1=O,1
278,[CH]C(C)C1C[CH]C(C)C1[CH],1
279,[CH]CC(C[CH])C(C)CC,1
280,[CH]C(C)CC(C)[CH][CH][CH]C,1
281,[CH]CC(CC)C(C)C,1
282,[CH]C(C)[CH]C,1
283,[CH]CC(CC)C(C)(C)C,1
284,[CH]C(CC)C(C)C,1
285,[CH]C(CC)C(CC)C(C)CC,1
286,[CH]C1CCCCC1,1
287,[CH]CC1[CH][CH]CCC1C,1
288,[CH]1[CH]CCCC1,1
289,[CH]1[CH]CCC1,1
290,[CH]1[CH]C2CCC1C2,1
291,O=C1NN=C2C=CC=CN12,1
292,[CH][CH]C(C)[CH]C,1
293,[CH]C[CH][CH][CH]CCC[CH]C[CH][CH]CC[CH]C[CH]C,1
294,[CH]C[CH][CH]C([CH]C)CC[CH]C[CH]C,1
295,[CH]C[CH][CH],1
296,[CH]C[CH]CCC,1
297,P=S,1
298,[CH]C(C[CH]C)CC,1
299,S=C1NC2=C(C=CC=C2)N1,1
300,[CH]CC[CH],1
301,S=C1NC=NN1,1
302,[CH]CCCCC,1
303,[C-]#[N+],1
304,[CH-],1
305,[CH2-],1
306,[CH]1CCCCC1,1
307,[CH]1CCC[CH]CCC1,1
308,[CH]CCC(C)C1CCC2(C)[CH]CCC2C1CC,1
309,[CH]1[CH]C1,1
310,B,1
311,CC[CH]C(CC)C1CCCC1(C)C,1
312,O=C1C=CNC2=CC=CN=C12,1
313,CC(C)CCCC(C)C1CCC2C3C[CH]C4[CH]CCCC4(C)C3CCC12C,1
314,CC1CC2CCC1(C)C2(C)C,1
315,CC1CC1C,1
316,CC12[CH]CCC1C1C[CH]C34CC3CCC4(C)C1CC2,1
317,CC12[CH]CCC1C1CCC3C[CH][CH]CC3(C)C1[CH]C2,1
318,CC12[CH]CCC1C1CCC3C[CH]CCC3(C)C1C[CH]2,1
319,CC12CC3CC(C1)CC(C)(C3)C2,1
320,CC1(C)[CH]CCC1C1[CH]C2(C)CC[CH]CC2CC1,1
321,CC1(C)CCCCC1,1
322,CC1(C)CCCC1C1[CH]C2(C)CC[CH]CC2CC1,1
323,CC1(C)CCC(CC)C(CC)C1C,1
324,CC1(C)CCC(C(C)CC)CC1C,1
325,CC([CH])[CH][CH][CH]C,1
326,CC([CH])[CH][CH]CC,1
327,CC([CH])[CH][CH],1
328,CC([CH])C,1
329,CC1CCC(C)C1(C)C,1
330,CC1CCC2(C)C(CCC3C4CC[CH]C4(C)CCC32)C1,1
331,CC1CCCC(C)(C)C1,1
332,CCC(C)C1[CH]CC2(C)C[CH]CC2C1CC,1
333,CCC([CH]C(C)C)CC,1
334,CCC(CC)C([CH]C)CC,1
335,CCC(C)CCCC(C)CCCC(C)CCCC(C)C,1
336,CCC(C)CC(C)C,1
337,CCC(C)C1[CH]CC2[CH]CCC2C1CC,1
338,CCC(C)C1[CH]CC2(C)[CH]CCC2C1CC,1
339,CCC(C)C1CCC2(C)C[CH]CC2C1CC,1
340,CC1CCCCCC(C)C1,1
341,CCC(C)C1CCC2(C)C(C)CCC2C1CC,1
342,CCC(C)C1CCC([CH]C(C)C(C)(CC)C(C)C)C1C,1
343,CCC(C)C1CCC(CC)C(CC)C1,1
344,CCC(C)C(CC)CC,1
345,CC1[CH]CCC1,1
346,CC1[CH]CC1C,1
347,CC(C)C[CH][CH][CH]CC(C)C,1
348,CC(C)CCC1CCC1,1
349,O=C1C=CN=C2C=CC=CN12,1
350,CC(C)CC1CCCCC1,1
351,C1=CC=C2OC=CC2=C1,1
352,C1=CC=C2N=CC=NC2=C1,1
353,C1=CC=C2C=NN=CC2=C1,1
354,C1=CC=C2C(=C1)NC1=CC=CC=C12,1
355,C1=CC=C2C(=C1)NC1=C2C=CN=C1,1
356,C1=CC=C2C(=C1)C=CC1=C2N=C2C=CC=CN21,1
357,C1=CC2=CC=C3SC=NC3=C2C=C1,1
358,C1=CC2=C(NN=C2)N=C1,1
359,C1=CC2=C(N=CN=C2)N1,1
360,C1=CC2=C(N=C1)NN=C2,1
361,C1=CC2=C(N=C1)N=CC=C2,1
362,C1=CC2=C(C=C1)OC=N2,1
363,C1=CC2=C(C=C1)NC=N2,1
364,C1=CC2=C(C=C1)C=[N+]C=C2,1
365,C1=CC2=C(C=C1)C1=C(C=NC=C1)N2,1
366,C1=CC=C2OC=NC2=C1,1
367,C1=CC=C2SN=CC2=C1,1
368,C1=CN=C2N=CN=CC2=N1,1
369,C1=NC=NN=C1,1
370,CC(C)C1[CH]CCC2(C)CCCC12,1
371,CC(C)C(C)CC[NH],1
372,C1[CH]C2CCC1CC2,1
373,C1CCC1,1
374,C1CCC(C2CCCCC2)CC1,1
375,C1=NNN=C1,1
376,C1=NC=C2N=CN=CC2=N1,1
377,C1=CN=C2NN=CC2=C1,1
378,C1=NC=C2N=CC=NC2=N1,1
379,C1=C[O+]=NN1,1
380,C1=C[NH+]=[O+]C=C1,1
381,C1=CSN=N1,1
382,C1=CNN=N1,1
383,C1=CN=NN1,1
384,CCC1(C)C2[CH]CC3(C)C[CH]CC3C2CCC1C,1
385,CCC1CCC(C)(C)C(C)C1CC,1
386,CCC1CCC(C)C(CC)C1CC,1
387,CCC1CCCC1,1
388,C[CH]C[CH]CCC([CH]C)[CH][CH]CC,1
389,C[CH]C[CH]C,1
390,C[CH]CC[CH]CC,1
391,C[CH]CC[CH]C,1
392,C[CH]CCCCCCC(C)[CH]C(C)CC,1
393,C[CH]CCCCCCC(C)[CH]C(C)C,1
394,C[CH]CCCCC,1
395,C[CH]CCC(C)C,1
396,C[CH]CC1C(C(C)CC)[CH]CC2(C)[CH]CCC12,1
397,C[CH]CC1C(C(C)CC)[CH]CC2(C)CCCC12,1
398,C[CH]CC(C)(C)CC,1
399,C[CH]C1CC[CH]CC1CC,1
400,C[CH]C1CC(C(C)C)C[CH]C1CC,1
401,C[CH]C1C(C(C)CC)CCC2(C)C(CC)CCC12,1
402,C[CH]C12CCC([CH]C1CC)C(C(C)C)C2,1
403,C[CH]C[CH][CH]C,1
404,C[CH]C[CH][CH]C([CH]C)CC[CH]C[CH]C,1
405,C[CH]C[CH][CH]CC,1
406,C[CH][CH][CH]CCCCCC,1
407,O=C1C=CC=NN1,1
408,O=C1C=CC=CO1,1
409,O=C1C=CC2=C3C=CNC=C3NC2=C1,1
410,N=N,1
411,N=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,1
412,C[NH+],1
413,C[CH][CH][CH]CC,1
414,C[CH][CH]C(C)[CH]C(C)CC(C)C,1
415,C[CH][CH][CH]C,1
416,C[CH][CH]CCCC,1
417,C[CH][CH]CCC,1
418,C[CH][CH]CC(C)C,1
419,C[CH][CH]C([CH]C)CC,1
420,C[CH][CH]C(C)[CH]C(C)CC(C)[CH]C(C)[CH]C(C)[CH]CC,1
421,C[CH]C12CCC([CH]C1CC)C(C(C)C(C)(C)C)C2,1
422,C[CH]C(CC)CCC,1
423,C[CH]C(CC)C(C)CC,1
424,CCCC(C)[CH]C(C)[CH]CC,1
425,CCCCC(C)C1CCC2(C)CCCC2C1C,1
426,CCCC1C[CH][CH]CC1,1
427,CCCC1CCCC1,1
428,CCCC1C(CC)CCC2(C)CCCC12,1
429,CCCC(CCC)CCC,1
430,CCCC(CC)C(C)C,1
431,CCCC(C)C1C[CH]C(CC)C(CC)C1,1
432,CCCCCC(C)C,1
433,CCC1[CH]CCC2(C)[CH]CCC12,1
434,CCC1[CH]CCC(C)C1CC,1
435,CCC1[CH]CC2(C)[CH]C(C)CC2C1CC,1
436,CCC1[CH]CC2(C)CCCCC2C1CC,1
437,CCC1[CH]CC2(C)CCCC2[CH]1,1
438,CCC1[CH]C2CCC1C2,1
439,CCCCC(C)CC,1
440,CCCCCCC(C)(C)C,1
441,C[CH]C(CC)C(C)C,1
442,CC[CH][CH][CH]C,1
443,C[CH]C(C)CC,1
444,C[CH]C(C)C(C)CC,1
445,C[CH]C(C)C,1
446,C[CH]C(C)(CC)C(C)CC,1
447,C[CH]C(C)(C)C(CC)CC,1
448,C[CH]C(C(C)CC)C(C)C,1
449,CC[CH]C1CCC2(C)[CH]CCC2C1CC,1
450,CCCCCCCCCC,1
451,CC[CH]C1CCC2(C)CCCC2C1CC,1
452,CC[CH]C(CC)C1CC(C)CC1(C)C,1
453,CCCCCCCCCCCCCCCCC,1
454,CCCCCCCCCCCCCCC,1
455,CCCCCCCCCCCCC,1
456,CCCCCCCCCCC,1
457,[S+],1
